fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg
318412,SLG,0,0.17318,-103.7007,1.095642,-146.3091,1.029918,92.5108,1186.9441,79.3824,2143.2378,31.5252,1552.4439,-93.7394
318412,SLG,10,1.066507,-28.1384,1.066766,-147.9991,1.065618,91.9207,1734.2765,145.828,1764.9869,25.9454,1724.644,-94.3037
318412,SLG,20,1.066497,-28.1157,1.066777,-147.9998,1.065624,91.9215,1734.095,145.8501,1765.1008,25.9403,1724.7216,-94.2979
318412,SLG,30,1.066493,-28.1082,1.06678,-148.0,1.065626,91.9218,1734.0344,145.8574,1765.1388,25.9386,1724.7474,-94.2959
318412,SLG,40,1.066491,-28.1044,1.066782,-148.0001,1.065627,91.9219,1734.0041,145.8611,1765.1578,25.9378,1724.7603,-94.295
318412,LL,0,0.163917,-113.9996,0.136939,145.8724,1.049627,93.393,981.8188,48.387,776.2592,5.1409,1561.1911,-87.2105
318412,LL,10,1.066496,-28.1401,1.066787,-148.0444,1.065596,91.9221,1734.1185,145.8163,1765.353,25.9011,1724.4154,-94.2933
318412,LL,20,1.066491,-28.1166,1.066787,-148.0224,1.065613,91.9222,1734.016,145.8442,1765.284,25.9182,1724.6072,-94.2927
318412,LL,30,1.066489,-28.1088,1.066787,-148.0151,1.065618,91.9223,1733.9817,145.8535,1765.261,25.9239,1724.6712,-94.2925
318412,LL,40,1.066488,-28.1048,1.066787,-148.0114,1.065621,91.9223,1733.9646,145.8582,1765.2495,25.9267,1724.7031,-94.2924
318412,3LG,0,0.133816,-108.326,0.133815,131.7532,0.133751,11.6578,397.4734,69.4035,401.4583,-50.6118,396.0696,-170.9392
318412,3LG,10,1.066474,-28.1387,1.066776,-148.0461,1.065617,91.8767,1733.8935,145.8265,1765.1949,25.8896,1724.7795,-94.3377
318412,3LG,20,1.06648,-28.1159,1.066782,-148.0232,1.065623,91.8995,1733.9035,145.8493,1765.205,25.9124,1724.7894,-94.3149
318412,3LG,30,1.066482,-28.1083,1.066784,-148.0156,1.065625,91.9071,1733.9068,145.8569,1765.2083,25.92,1724.7926,-94.3072
318412,3LG,40,1.066483,-28.1045,1.066785,-148.0118,1.065626,91.911,1733.9084,145.8607,1765.21,25.9238,1724.7943,-94.3034
243937,SLG,0,0.095907,-92.0799,1.393188,-179.0824,1.695404,107.8814,1641.8281,57.7137,2998.7538,6.0569,2343.0297,-64.4622
243937,SLG,10,1.060092,-28.2781,1.069591,-148.227,1.067902,92.1657,1725.1037,145.4697,1774.8086,25.8584,1722.047,-93.9821
243937,SLG,20,1.06328,-28.1859,1.068195,-148.1141,1.066764,92.0447,1729.4923,145.6706,1770.0281,25.8968,1723.4059,-94.1368
243937,SLG,30,1.064346,-28.155,1.067727,-148.0763,1.066385,92.004,1730.9624,145.7377,1768.4273,25.9096,1723.8664,-94.1885
243937,SLG,40,1.064881,-28.1395,1.067492,-148.0574,1.066196,91.9837,1731.6987,145.7713,1767.6256,25.916,1724.0982,-94.2143
243937,LL,0,0.061646,-107.0447,0.046097,-169.3824,1.496886,88.6867,916.001,25.8964,936.357,14.9381,2379.2744,-91.245
243937,LL,10,1.062368,-28.0349,1.063201,-148.4118,1.070667,91.9389,1722.3268,145.7776,1765.7469,25.4609,1731.4569,-94.0587
