fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg
318412,SLG,0,0.125212,-117.7151,1.036684,-151.7542,1.034904,88.6257,0.0,-27.2814,0.0,-61.7292,0.0,178.7037
318412,SLG,10,1.026656,-31.5051,1.031619,-151.1398,1.023645,88.7265,0.0,58.6391,0.0,-61.0409,0.0,178.8134
318412,SLG,20,1.026662,-31.4821,1.031621,-151.1397,1.023642,88.7263,0.0,58.631,0.0,-61.1619,0.0,178.7492
318412,SLG,30,1.026664,-31.4745,1.031622,-151.1397,1.023642,88.7262,0.0,58.5663,0.0,-61.1221,0.0,178.7718
318412,SLG,40,1.026665,-31.4706,1.031622,-151.1397,1.023641,88.7262,0.0,58.553,0.0,-61.1308,0.0,178.6905
318412,LL,0,0.117837,-113.8668,0.133863,122.9196,1.036298,88.2044,0.0,-23.876,0.0,-147.3263,0.0,178.1921
318412,LL,10,1.026659,-31.5047,1.031605,-151.1857,1.023641,88.7266,0.0,58.3652,0.0,-61.1533,0.0,178.7528
318412,LL,20,1.026664,-31.4819,1.031614,-151.1627,1.023641,88.7263,0.0,58.436,0.0,-61.0847,0.0,178.7302
318412,LL,30,1.026665,-31.4743,1.031617,-151.1551,1.02364,88.7263,0.0,58.485,0.0,-61.1134,0.0,178.7909
318412,LL,40,1.026666,-31.4705,1.031619,-151.1512,1.02364,88.7262,0.0,58.5228,0.0,-61.0036,0.0,178.7339
318412,3LG,0,0.128412,-113.6483,0.12905,126.6758,0.128033,6.5544,0.0,-23.6436,0.0,-143.4478,0.0,96.62
318412,3LG,10,1.026654,-31.5048,1.031609,-151.1853,1.023626,88.6805,0.0,58.5224,0.0,-61.096,0.0,178.7339
318412,3LG,20,1.026661,-31.482,1.031616,-151.1625,1.023633,88.7033,0.0,58.6229,0.0,-61.0114,0.0,178.7564
318412,3LG,30,1.026664,-31.4743,1.031619,-151.1549,1.023636,88.7109,0.0,58.5066,0.0,-61.1047,0.0,178.7131
318412,3LG,40,1.026665,-31.4705,1.03162,-151.1511,1.023637,88.7147,0.0,58.4794,0.0,-61.1583,0.0,178.7094
243937,SLG,0,0.010188,100.3956,1.32507,172.9643,1.728128,102.5849,0.0,-175.9144,0.0,-97.0632,0.0,-167.4659
243937,SLG,10,1.020019,-31.6147,1.033942,-151.3981,1.026608,88.9698,0.0,58.4826,0.0,-61.4785,0.0,179.0438
